Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
19816.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
25794.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
23124.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
22771.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
10577.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
25240.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,1
7054.0,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
24439.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
32535.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
25387.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1
26345.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,1,1
20374.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
34447.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
9150.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
14743.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
6114.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,1,1,1
14438.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,1
13162.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
20000.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
22729.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,0,0
18721.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
28492.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
2464.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
26400.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
3629.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,0
22225.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,0
22382.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
23612.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
15516.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,1
15087.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
32462.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
18200.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
14504.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
12420.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
24067.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,0,0
15144.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
16496.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
16633.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
12101.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
11204.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,0
,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
8732.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
42691.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
25169.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
25869.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,0
11013.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
22626.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,0
23237.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
2295.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,1
21611.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
22740.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,1,1,1
24559.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,0
21684.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
25453.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,0,1
27051.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
2973.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
23765.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
1160.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
30297.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
22576.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
17445.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
9795.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0
8687.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
22889.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
13828.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
18661.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
22052.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
25746.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,1,1,1
17020.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
7645.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
20512.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
22383.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
6598.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
48991.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,1
21461.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,1,0
