,temprature ofDelhi,wind ofDelhi,humidity ofDelhi
0,40     ,17     ,31 
1,39     ,17     ,32 
2,40     ,17     ,31 
3,40     ,17     ,30 
4,40     ,16     ,31 
5,40     ,15     ,31 
6,39     ,14     ,33 
7,39     ,14     ,34 
8,38     ,14     ,35 
9,37     ,14     ,37 
10,36     ,13     ,38 
11,36     ,13     ,40 
12,35     ,11     ,42 
13,35     ,12     ,43 
14,34     ,11     ,45 
15,34     ,11     ,46 
16,34     ,10     ,47 
17,34     ,10     ,46 
18,35     ,10     ,42 
19,37     ,12     ,38 
20,38     ,13     ,35 
21,39     ,15     ,32 
22,40     ,16     ,30 
23,41     ,16     ,27 
