,temprature ofLucknow,wind ofLucknow,humidity ofLucknow
0,43     ,13     ,21 
1,43     ,14     ,20 
2,43     ,13     ,20 
3,42     ,12     ,20 
4,41     ,11     ,21 
5,41     ,11     ,22 
6,40     ,10     ,23 
7,40     ,10     ,23 
8,39     ,9     ,24 
9,38     ,10     ,25 
10,37     ,10     ,26 
11,36     ,9     ,27 
12,36     ,9     ,29 
13,35     ,10     ,30 
14,34     ,10     ,32 
15,33     ,10     ,33 
16,33     ,11     ,34 
17,33     ,13     ,35 
18,35     ,14     ,37 
19,38     ,15     ,36 
20,40     ,14     ,31 
21,41     ,10     ,28 
22,42     ,9     ,25 
23,43     ,10     ,23 
